epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.3606,1.42709,3.84357,4.79821,1.46867,0.00762,0.62515,0.19784,0.09927,0.0059,0.57829,0.17597,0.08547,1.75566,4.16119,5.01585,1.71843,0.00037774,0.00037774,0.00037774
2,30.6335,1.58982,3.18834,4.14311,1.46169,0.81574,0.16531,0.31592,0.17954,0.80636,0.15976,0.30114,0.13066,2.07041,4.87756,4.61545,1.96186,0.000765072,0.000765072,0.000765072
3,43.6274,1.63588,3.21095,3.82948,1.49512,0.77752,0.24835,0.28321,0.15094,0.78537,0.25358,0.27544,0.1355,2.19185,6.09609,4.23514,2.15377,0.0011066,0.0011066,0.0011066
4,55.0386,1.61214,3.05085,3.47229,1.48925,0.83764,0.21528,0.27759,0.14533,0.82508,0.21037,0.25389,0.12534,2.09168,5.33732,4.86489,2.23756,0.0011044,0.0011044,0.0011044
5,66.2295,1.61611,3.02839,3.39508,1.5004,0.33834,0.36669,0.30077,0.14094,0.25032,0.27341,0.18465,0.06877,2.23174,4.98026,6.25265,2.23113,0.0011022,0.0011022,0.0011022
6,77.7301,1.54472,2.99801,3.11628,1.44635,0.38114,0.13739,0.11251,0.03923,0.38201,0.18747,0.12072,0.04292,2.42311,5.00451,6.60011,2.12096,0.0011,0.0011,0.0011
7,88.7944,1.55329,2.93273,3.01478,1.43223,0.3298,0.36086,0.37519,0.21742,0.615,0.28611,0.36625,0.20127,2.16272,4.8777,3.99756,1.92309,0.0010978,0.0010978,0.0010978
8,100.015,1.47443,2.85202,2.83476,1.38956,0.81157,0.29861,0.32649,0.1597,0.7937,0.28611,0.29906,0.16619,2.24172,5.63691,3.98844,2.31609,0.0010956,0.0010956,0.0010956
9,111.008,1.58771,2.9967,2.98833,1.45469,0.43324,0.3203,0.38981,0.24054,0.43324,0.3203,0.35129,0.19975,2.02984,4.48892,3.29221,1.85104,0.0010934,0.0010934,0.0010934
10,122.128,1.49447,2.83837,2.70635,1.40343,0.48074,0.41812,0.4191,0.21969,0.45108,0.36943,0.34905,0.1901,2.05282,3.80209,3.16771,1.88751,0.0010912,0.0010912,0.0010912
