epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.1921,1.43544,3.05234,6.52739,2.54122,0.09929,0.0661,0.07143,0.05895,0.09886,0.0657,0.07118,0.06,1.1329,2.304,6.25635,2.10902,0.000115294,0.000115294,0.000115294
2,62.5566,1.18431,2.12725,5.48271,2.11476,0.08524,0.5935,0.2811,0.20428,0.08392,0.58406,0.27163,0.18233,1.18415,1.93296,5.36485,2.11671,0.000232482,0.000232482,0.000232482
3,93.617,1.22081,1.92163,4.26531,2.14118,0.53614,0.54039,0.48408,0.33049,0.53179,0.53454,0.47564,0.30017,1.24182,1.7583,3.33273,2.20681,0.000349205,0.000349205,0.000349205
4,120.568,1.24466,1.85814,3.22606,2.17152,0.61303,0.65507,0.60418,0.41186,0.60865,0.64925,0.59588,0.37245,1.1947,1.71962,2.4633,2.23535,0.000397633,0.000397633,0.000397633
5,147.252,1.17718,1.75832,2.58943,2.11564,0.70064,0.66955,0.69082,0.47747,0.69934,0.6679,0.68562,0.44212,1.13251,1.61223,2.04792,2.17597,0.000396844,0.000396844,0.000396844
6,175.218,1.14014,1.73719,2.25899,2.10121,0.75279,0.69386,0.73646,0.51173,0.75642,0.68343,0.72661,0.47093,1.09704,1.6155,1.87645,2.14436,0.000396054,0.000396054,0.000396054
7,200.83,1.08687,1.6766,1.99699,2.0604,0.78028,0.72962,0.77597,0.54555,0.79114,0.72977,0.77243,0.50756,1.09036,1.55284,1.71433,2.12302,0.000395265,0.000395265,0.000395265
8,226.429,1.04937,1.63727,1.84368,2.01737,0.82768,0.71267,0.79258,0.55767,0.8167,0.71262,0.78022,0.51317,1.07131,1.57,1.64996,2.10293,0.000394476,0.000394476,0.000394476
9,252.217,1.01079,1.59504,1.70886,2.00393,0.80307,0.72108,0.78715,0.56035,0.80574,0.71647,0.7807,0.51688,1.05496,1.5472,1.76547,2.08593,0.000393687,0.000393687,0.000393687
10,280.326,1.01188,1.60342,1.63038,1.97734,0.84827,0.74004,0.81553,0.57967,0.85288,0.73988,0.81087,0.53641,1.03987,1.53611,1.49108,2.069,0.000392898,0.000392898,0.000392898
11,305.706,1.00094,1.56967,1.57259,1.97417,0.83164,0.75689,0.81555,0.58206,0.84068,0.76259,0.81501,0.54452,1.04025,1.49742,1.4489,2.06546,0.000392109,0.000392109,0.000392109
12,331.076,0.98663,1.55756,1.52844,1.96771,0.83633,0.75632,0.82798,0.5968,0.84259,0.75855,0.82402,0.55631,1.00427,1.47077,1.3961,2.02875,0.00039132,0.00039132,0.00039132
13,356.194,0.96654,1.54379,1.46988,1.94898,0.84742,0.7746,0.83945,0.58781,0.86958,0.75857,0.82989,0.54716,1.03426,1.51754,1.33889,2.06003,0.000390531,0.000390531,0.000390531
14,382.45,0.97351,1.53848,1.44761,1.95545,0.83783,0.78394,0.84341,0.6016,0.85193,0.77513,0.836,0.55852,1.00628,1.50341,1.34264,2.01438,0.000389741,0.000389741,0.000389741
15,409.617,0.9554,1.50209,1.41538,1.93309,0.83891,0.78416,0.84986,0.61127,0.845,0.78607,0.84711,0.56716,0.99528,1.47612,1.2739,2.00753,0.000388952,0.000388952,0.000388952
16,435.207,0.94899,1.49484,1.39525,1.93111,0.82816,0.78663,0.83901,0.60448,0.83481,0.78523,0.83462,0.56417,0.99925,1.46235,1.30934,2.02186,0.000388163,0.000388163,0.000388163
17,460.478,0.94469,1.49384,1.36456,1.92121,0.86927,0.77627,0.85843,0.61622,0.87645,0.7785,0.85264,0.56488,0.98556,1.48568,1.25308,2.00848,0.000387374,0.000387374,0.000387374
18,486.055,0.92168,1.46882,1.33669,1.90506,0.85374,0.78688,0.86278,0.62458,0.8522,0.78651,0.85125,0.57558,0.96947,1.44325,1.24004,1.98306,0.000386585,0.000386585,0.000386585
19,513.106,0.92339,1.45567,1.33012,1.89949,0.84665,0.78721,0.85334,0.61893,0.84683,0.78629,0.84364,0.57457,0.97164,1.46372,1.26292,1.98165,0.000385796,0.000385796,0.000385796
20,539.232,0.92015,1.4574,1.30923,1.9009,0.86746,0.79037,0.85757,0.62042,0.87121,0.78717,0.84809,0.57063,0.98538,1.46951,1.19231,2.00384,0.000385007,0.000385007,0.000385007
21,564.882,0.9142,1.44585,1.28858,1.89235,0.84506,0.79975,0.86031,0.61744,0.85619,0.78442,0.84604,0.56985,0.99078,1.46113,1.23189,1.99426,0.000384218,0.000384218,0.000384218
22,590.032,0.9102,1.45071,1.28433,1.88094,0.84612,0.80097,0.86215,0.62036,0.8567,0.79513,0.85603,0.57839,0.97894,1.41644,1.19843,1.98256,0.000383428,0.000383428,0.000383428
23,615.167,0.90183,1.4092,1.24632,1.88676,0.86481,0.8046,0.86689,0.62887,0.86647,0.79261,0.85067,0.57383,0.97245,1.45373,1.17174,1.98993,0.000382639,0.000382639,0.000382639
24,642.497,0.89907,1.41815,1.24258,1.87899,0.86788,0.7881,0.86399,0.62235,0.87191,0.78786,0.85218,0.57285,0.97208,1.47462,1.1761,1.99874,0.00038185,0.00038185,0.00038185
25,667.933,0.90133,1.41627,1.25618,1.89048,0.8721,0.80493,0.87085,0.62808,0.88414,0.79387,0.85955,0.57467,0.98272,1.49423,1.18567,2.00067,0.000381061,0.000381061,0.000381061
26,693.198,0.88894,1.4028,1.24771,1.88391,0.86243,0.81447,0.8773,0.63828,0.86718,0.8163,0.86809,0.59203,0.9541,1.44285,1.14273,1.96241,0.000380272,0.000380272,0.000380272
27,718.663,0.88814,1.38963,1.22224,1.87263,0.8593,0.80624,0.86946,0.63367,0.86486,0.80464,0.86005,0.58757,0.95372,1.43638,1.18374,1.97971,0.000379483,0.000379483,0.000379483
28,744.668,0.88114,1.38706,1.20052,1.86069,0.84967,0.81905,0.87212,0.63077,0.85243,0.81674,0.85889,0.58128,0.97158,1.44519,1.16199,1.99518,0.000378694,0.000378694,0.000378694
29,772.133,0.87856,1.37803,1.1909,1.86789,0.83422,0.81293,0.86417,0.63328,0.84857,0.80555,0.85265,0.57857,0.95497,1.46125,1.15192,1.97861,0.000377905,0.000377905,0.000377905
30,797.449,0.87269,1.35482,1.17613,1.86181,0.87357,0.79547,0.87067,0.63865,0.87694,0.79687,0.86015,0.58877,0.95687,1.44374,1.15372,1.97399,0.000377116,0.000377116,0.000377116
31,822.072,0.87542,1.36123,1.17199,1.85251,0.87373,0.79584,0.86635,0.6304,0.87502,0.795,0.85628,0.58138,0.97281,1.44003,1.16113,1.99265,0.000376326,0.000376326,0.000376326
32,847.187,0.87566,1.35282,1.15356,1.8551,0.84218,0.81688,0.86656,0.63082,0.85893,0.80179,0.85797,0.58375,0.97665,1.46038,1.16602,2.0016,0.000375537,0.000375537,0.000375537
33,873.068,0.8674,1.35543,1.14622,1.84666,0.84315,0.82113,0.86371,0.63097,0.84975,0.80884,0.85205,0.58122,0.96257,1.43707,1.19383,1.97924,0.000374748,0.000374748,0.000374748
34,899.897,0.86288,1.36078,1.14851,1.84659,0.85354,0.81716,0.87502,0.63183,0.85879,0.80894,0.86118,0.58204,0.96526,1.4736,1.13984,1.99179,0.000373959,0.000373959,0.000373959
