fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
1.26111,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
1.25589,0.01028,0.00969,0.92367,0.00051,2.66531,0.8,8.16821,0.46818,1.5,0.015,0.7,0.40047,0.0,0.09589,0.5,0.0,0.0,0.0,0.50717,0.0,0.87624,0.0,0.0
1.28174,0.00911,0.01064,0.937,0.0005,3.65232,0.95,7.5,0.5,1.3691,0.01595,0.77676,0.41798,0.0,0.1,0.46616,0.0,0.0,0.0,0.5437,0.0,1.0,0.0,0.0
1.27804,0.00911,0.00813,0.93199,0.00057,3.65232,0.84816,7.5,0.48191,1.17285,0.01595,0.83012,0.4324,0.0,0.10401,0.46616,0.0,0.0,0.0,0.57819,0.0,1.0,0.0,0.0
1.28177,0.00975,0.01037,0.93041,0.0005,2.89753,0.94343,6.54112,0.5,1.39339,0.01629,0.68587,0.35103,0.0,0.1,0.48529,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
1.27704,0.00911,0.01169,0.94091,0.00061,3.82017,0.95,7.3745,0.50568,1.48315,0.01606,0.75149,0.41798,0.0,0.1,0.46616,0.0,0.0,0.0,0.56208,0.0,1.0,0.0,0.0
1.28315,0.00815,0.01394,0.93911,0.00065,3.79611,0.95,6.0781,0.56341,1.76114,0.01875,0.66472,0.42261,0.0,0.1,0.46616,0.0,0.0,0.0,0.59876,0.0,1.0,0.0,0.0
1.26921,0.00911,0.01064,0.93154,0.00066,3.10973,0.95,7.39097,0.5,1.19447,0.0183,0.74784,0.49339,0.0,0.1314,0.44028,0.0,0.0,0.0,0.61112,0.0,1.0,0.0,0.0
1.28983,0.00807,0.01312,0.93911,0.00064,3.51421,0.89785,5.8577,0.58642,1.73134,0.01875,0.67746,0.42396,0.0,0.09517,0.49993,0.0,0.0,0.0,0.60319,0.0,1.0,0.0,0.0
1.29097,0.00804,0.01356,0.94545,0.00067,3.8407,0.91632,6.29004,0.56341,1.83556,0.01804,0.66624,0.4165,0.0,0.09694,0.43358,0.0,0.0,0.0,0.60642,0.0,0.99243,0.0,0.0
1.26895,0.00865,0.01218,0.95917,0.0007,3.8407,0.76233,6.19439,0.5879,2.00614,0.01841,0.66624,0.4165,0.0,0.09694,0.51999,0.0,0.0,0.0,0.60642,0.0,0.96368,0.0,0.0
1.22915,0.00822,0.0152,0.98,0.00081,4.35184,0.94135,4.27405,0.56341,1.75385,0.01759,0.65023,0.4165,0.0,0.09694,0.42495,0.0,0.0,0.0,0.47512,0.0,1.0,0.0,0.0
1.26033,0.00807,0.01515,0.93911,0.00039,3.51421,0.78341,5.8577,0.38491,1.73134,0.01875,0.57925,0.43859,0.0,0.12099,0.67152,0.0,0.0,0.0,0.63697,0.0,1.0,0.0,0.0
1.28952,0.00698,0.01308,0.9537,0.00073,3.69157,0.9356,5.79692,0.6423,1.82666,0.01848,0.73955,0.46509,0.0,0.08227,0.39873,0.0,0.0,0.0,0.53171,0.0,0.95343,0.0,0.0
1.28774,0.00692,0.01143,0.95317,0.00072,3.4072,0.89332,6.08235,0.68562,1.86725,0.01848,0.70836,0.44841,0.0,0.07836,0.40528,0.0,0.0,0.0,0.5262,0.0,1.0,0.0,0.0
1.29249,0.00669,0.0147,0.94247,0.00073,3.4072,0.84281,7.7117,0.71456,2.63576,0.01677,0.8191,0.49462,0.0,0.07836,0.40528,0.0,0.0,0.0,0.56937,0.0,0.91197,0.0,0.0
1.2871,0.00669,0.01511,0.94799,0.00058,3.57409,0.93239,6.67239,0.61983,2.63576,0.01251,0.76628,0.53476,0.0,0.07836,0.40528,0.0,0.0,0.0,0.56937,0.0,1.0,0.0,0.0
1.27771,0.00804,0.01239,0.94545,0.00067,3.61951,0.91632,6.45838,0.49656,1.42786,0.01804,0.59375,0.38295,0.0,0.09648,0.52029,0.0,0.0,0.0,0.67379,0.0,0.931,0.0,0.0
1.28887,0.0066,0.01456,0.94202,0.00073,3.48017,0.83147,7.8282,0.72605,2.63576,0.01658,0.8191,0.50796,0.0,0.07957,0.40038,0.0,0.0,0.0,0.56892,0.0,0.91176,0.0,0.0
1.29034,0.00685,0.01489,0.94073,0.00075,3.60708,0.85698,7.35969,0.70691,2.65655,0.01677,0.8191,0.48714,0.0,0.07836,0.40528,0.0,0.0,0.0,0.56937,0.0,0.94749,0.0,0.0
1.29389,0.00597,0.0136,0.94247,0.00081,3.4072,0.86965,7.71936,0.75984,2.68243,0.01507,0.87588,0.51477,0.0,0.07396,0.39189,0.0,0.0,0.0,0.5952,0.0,0.91197,0.0,0.0
